roundNo	questionNo	questionText	answerText
Round 1 Player 1	Question 1	"Sapsan, the name for the high-speed rail service connecting Moscow, St Petersburg and Nizhny Novgorod, appropriately translates to which ""wandering"" bird, the fastest bird in the world and also the fastest member of the animal kingdom?"	Peregrine Falcon
Round 1 Player 1	Question 2	"The Loves of the Gods is a mythology themed monumental fresco cycle, completed by the Bolognese artist Annibale Carracci. In one scene, the cyclops Polyphemus is declaring his love for which nereid, who is actually in love with the mortal Acis? This nereid whose name means ""milk-white"" shares her name with a Greek statue immortalised in a play."	Galatea
Round 1 Player 2	Question 1	"According to legend, which dish was created by Marseille fishermen? They cooked the rockfish pulled up with their nets, since they were too bony for restaurants. The ingredients are not added all at once. Each time, the broth comes to a boil, the heat is lowered and different fish are added. This is what gives it its name."	Bouillabaisse
Round 1 Player 2	Question 2	"Which comic strip had its origin in Li'l Folks, a weekly panel cartoon that appeared in the newspaper St. Paul Pioneer Press, from 1947 to 1950? It focuses entirely on a social circle of young children, where adults exist but are never seen and rarely heard."	Peanuts
Round 1 Player 3	Question 1	"Which Indonesian was the Chief Guest at the first Indian Republic Day Parade in 1950? His daughter served as President as well, and was famously given her first name by the future Chief Minister of Odisha, Biju Patnaik."	Sukarno
Round 1 Player 3	Question 2	"The first winner of the Spiel des Jahres [SHPEEL-DES-YA-RUHS} was this board game by David Parlett, that was developed in 1974. What board game that is based on a fable by Aesop is this? The fable and the game deal with two animals who decide to race each other."	Hare and Tortoise
Round 1 Player 4	Question 1	"The Hustler and The Color of Money, which got Paul Newman a Best Actor Oscar nomination and win respectively, were both based on novels by Walter Tevis, who came back into popular consciousness last year thanks to which widely acclaimed 7-episode mini-series?"	The Queen's Gambit
Round 1 Player 4	Question 2	"What name is given to the phenomenon, exhibited by certain metals and alloys at high temperatures, of stretching to extreme lengths without breaking? Materials displaying this super property are used in aerospace and also in making thin, contoured shapes."	Superplasticity
Round 2 Player 1	Question 1	"Also dubbed 'the color of the millennium', what was Pantone's Color of the Year for 2000? It is the color of a serene clear day, and connotes peaceful and relaxing times for consumers seeking spirituality and calmness. This one-word name derives from the Latin word for 'sky', and ranges somewhere between azure and a darker sky colour."	Cerulean blue
Round 2 Player 1	Question 2	"AFI's ""100 Years... 100 Movie Quotes"" is a list of the top 100 quotations in American cinema, released in 2005. What four words make up entry No. 44 on the list? It is said by the youngest entrant on the list by real age and by age of character."	“I see dead people”
Round 2 Player 2	Question 1	What name is given to the phenomenon where a substance shows zero viscosity and flows without any loss of kinetic energy? It was the basis for the 1996 Physics Nobel Prize win. This super theory was co-developed by Soviet theoretical physicist Lev Landau.	Superfluidity
Round 2 Player 2	Question 2	"This is a tile-based German-style board game for two to five players, designed by Klaus-Jurgen Wrede. It received the Spiel des Jahres in 2001, and was named after a medieval fortified town in Southern France. What board game is this?"	Carcassonne
Round 2 Player 3	Question 1	"German architect Otto Konigsberger is known for designing the main buildings of IISC in Bengaluru and the TIFR in Mumbai. His introduction to India came through his scientist uncle, who recommended his name to the Diwan of Mysore. Who was this Nobel Laureate uncle?"	Max Born
Round 2 Player 3	Question 2	In which European city was most of Queen’s Gambit shot in? The Schloss Schulzendorf is used as the exterior of the “Methuen Home for Girls.” And the final scene of Beth walking in Moscow was filmed at Rosengarten Square in the Karl Marx Allee.	Berlin
Round 2 Player 4	Question 1	"In 2002, BBC ran a poll to find the 100 greatest Britons. Winston Churchill finished #1. Since then there have been many spinoff polls in other countries by other networks. In a show produced by the channel France 2, who was deemed the #1 French citizen ever? This officer of the First World War was a national hero, and as a statesman led Free France against Nazi Germany during World War II."	Charles de Gaulle
